name,category,price,platform,sales_volume,rating,description
冰丝防晒衫女款UPF50+凉感透气宽松外套,女装,69.9,抖音,12800,4.8,冰丝面料 凉感透气 UPF50+防晒认证 宽松版型遮肉显瘦 适合夏季日常通勤穿搭 多色可选
冰丝防晒衫女款UPF50+凉感修身短款外套,女装,59.9,抖音,10500,4.7,冰丝面料 凉感透气 UPF50+防晒 修身短款设计 显高显瘦 夏季防晒必备
冰丝防晒衫连帽款UPF50+户外骑行面罩衫,女装,79.9,拼多多,15600,4.6,连帽面罩一体设计 UPF50+ 冰丝凉感 户外骑行钓鱼专用 全脸防护
冰丝防晒衫开衫式中长款UPF50+空调房外搭,女装,75.0,小红书,8900,4.9,中长款开衫设计 UPF50+防晒 空调房办公室外搭 百搭通勤 多色可选
冰丝防晒衫男款UPF50+透气速干运动外套,女装,69.9,拼多多,9200,4.5,男女同款冰丝面料 UPF50+防晒 速干透气 户外运动钓鱼必备 大码可选
高腰牛仔短裤女夏2026新款A字阔腿裤,女装,49.9,抖音,9600,4.7,高腰A字版型 显瘦遮胯 纯棉牛仔面料 夏季百搭基础款 搭配T恤衬衫均可
高腰牛仔短裤女夏2026修身直筒款,女装,55.0,拼多多,11300,4.6,高腰直筒版型 修身不紧绷 弹力牛仔面料 夏季百搭 通勤休闲两穿
高腰牛仔短裤女夏复古毛边破洞款,女装,52.0,小红书,7800,4.8,复古毛边破洞设计 高腰显瘦 A字版型 个性潮流 街头感十足
高腰牛仔短裤女夏加肥加大码款L-5XL,女装,59.9,拼多多,13500,4.5,大码专属L-5XL 高腰收腹设计 弹力牛仔面料 胖妹妹夏季必备短裤
高腰牛仔短裤女夏高腰卷边百搭款,女装,45.0,抖音,10200,4.6,卷边设计休闲感十足 高腰A字版型 纯棉舒适 学生党平价短裤首选
碎花连衣裙女夏季法式收腰显瘦长裙,女装,89.0,小红书,7200,4.9,法式碎花印花 收腰设计 雪纺面料轻盈飘逸 过膝长裙优雅显气质 约会度假首选
碎花连衣裙女夏季法式茶歇裙V领收腰中裙,女装,79.0,抖音,9800,4.8,法式茶歇裙 V领设计 收腰显瘦 碎花印花雪纺 过膝中长款 法式优雅
碎花连衣裙女夏季吊带露背沙滩度假长裙,女装,69.0,拼多多,11500,4.6,吊带露背设计 碎花印花 雪纺飘逸 沙滩度假必备 拍照超出片
碎花连衣裙女夏季小清新短款A字裙,女装,59.0,抖音,8600,4.7,小清新碎花 短款A字版型 纯棉面料舒适透气 日常休闲约会皆可
碎花连衣裙女夏季方领泡泡袖复古收腰裙,女装,99.0,小红书,6500,4.9,方领泡泡袖 复古法式风 收腰大裙摆 雪纺面料 约会婚礼宾客穿搭
大码透气家居服女夏款3XL-5XL纯棉睡裙,女装,39.9,拼多多,15000,4.6,大码3XL-5XL专供 纯棉透气不闷汗 宽松舒适居家外穿两用 胖妹妹福音
大码透气家居服女夏款3XL-5XL短袖七分裤套装,女装,49.9,拼多多,13200,4.5,大码3XL-5XL 短袖+七分裤套装 纯棉透气 居家休闲外穿 胖妹妹夏季必备
大码透气家居服女夏款3XL-5XL莫代尔吊带睡裙,女装,45.0,抖音,10800,4.6,莫代尔面料超柔亲肤 大码3XL-5XL 吊带款凉爽 居家睡眠两穿
大码透气家居服女夏款3XL-5XL冰丝长裤套装,女装,55.0,拼多多,9800,4.4,冰丝面料清凉降温 长袖长裤套装 大码3XL-5XL 空调房居家必备
大码透气家居服女夏款3XL-5XL孕妇可穿睡裙,女装,49.0,小红书,7200,4.7,大码+孕妇友好 纯棉A类面料 侧开口哺乳设计 孕期产后均可穿着
床边夹缝收纳盒可移动窄缝置物架,家居收纳,35.0,抖音,18500,4.8,窄缝设计10-16cm 带滑轮可移动 多层分类收纳 厨房浴室卧室通用 免安装即开即用
